"lon","lat"
-76.1709589,43.0327458
-76.44211,42.972226
-76.1594539,43.0208636
-76.2075546,43.1429371
-76.080264,43.097475
-76.059077,43.077989
-76.1965398,43.0544818
-76.1115093,43.0686542
-76.157208,43.051581
-76.1423698,43.0558868
NA,NA
-76.2110359,42.930972
-76.1411879,42.9772848
-76.286573,43.120667
-76.0980604,43.0699712
-76.148876,43.036515
-76.1629354,43.0563975
-76.1593845,43.0340809
-76.1423698,43.0558868
-76.1481619,43.045943
-76.1481425,43.0499553
-76.1647733,43.0483889
-76.151811,43.0488979
NA,NA
-76.1481425,43.0499553
-76.1481425,43.0499553
-76.1481425,43.0499553
-76.1481425,43.0499553
-76.152849,43.049957
-76.1647733,43.0483889
-76.1481425,43.0499553
-76.1376127,43.0582471
-76.2071282,43.1021895
-76.117838,43.135443
-76.1282981,43.1422682
-76.1456546,43.0537597
-76.1445578,43.1249087
-76.1134855,43.1281327
-76.13105,43.1358666
-76.208495,43.1417
-76.1816745,43.0340868
-76.205761,42.929638
-76.1978987,43.0043288
-76.1447569,43.0537849
-76.1467179,43.0490754
-76.1483066,43.0457477
-76.1483626,43.0466421
-76.1483066,43.0457477
-76.1483066,43.0457477
-76.1468224,43.0472275
-76.1483066,43.0457477
-76.064219,42.986644
-76.1907527,43.0065355
-76.1483066,43.0457477
-76.1401719,43.0460392
-76.1483066,43.0457477
-76.1765385,43.0634324
-76.1468224,43.0472275
-76.1483066,43.0457477
-76.1483066,43.0457477
-76.1528066,43.0559367
-76.1481619,43.045943
-76.2068187,43.0997486
NA,NA
-76.1732554,43.095358
-76.1471697,43.047796
-76.1968176,43.093488
-76.1483066,43.0457477
-76.1550777,43.1087902
-76.1853528,43.0053824
-76.1648183,42.9419143
-76.0951931,43.101988
-76.2082868,43.104011
-76.028984,43.028968
-76.2184757,42.8635427
-76.244145,43.088144
-76.1176849,43.0451725
-76.1483066,43.0457477
-76.1904266,43.0412263
-76.121557,43.066739
-76.1176849,43.0451725
-76.134969,43.0606269
-76.2959206,43.0304388
-76.1361609,43.0478349
-76.1115093,43.0686542
-76.1352602,43.0605318
-76.1474244,43.0481221
-76.151811,43.0488979
-76.0069066,43.0255634
-76.0415569,43.0273993
-76.13893,43.00177
-76.3327289,43.1596533
-76.4493509,43.159762
-76.1326103,43.0465443
-76.1500129,43.0457607
-76.013096,42.901112
NA,NA
-76.173984,43.0576875
-76.1490604,43.0470227
-76.0814994,43.0879783
-76.049183,43.028962
-76.1179972,43.0498178
-76.1008011,43.0687435
-76.1420827,43.0177197
-76.1334533,43.0591953
-76.195973,43.1636219
-76.1115093,43.0686542
-76.058428,43.016779
-76.0415569,43.0273993
-76.206987,43.137041
-76.2792039,43.041227
-76.1556847,43.043295
-75.978921,43.032987
-76.1311385,43.0050548
-76.1398344,43.0418643
-76.1409726,43.0555684
-76.1433394,43.0470987
NA,NA
-76.1419762,43.0443768
NA,NA
-76.1527674,42.9964254
-76.134028,43.046553
-76.0939896,43.0339394
-76.11309,43.0302
-76.1182918,43.1690247
-76.1467179,43.0490754
-76.1922102,43.0532951
-76.213809,43.0601698
-76.2064605,43.1101164
-76.2897102,43.0406913
-76.1498088,43.055666
-76.162205,43.0435293
-76.1479585,43.1001968
-76.3300084,43.1529455
-76.0762419,43.066235
-76.172126,43.039337
-76.1319323,43.1309718
-76.13128,43.130539
-76.1502791,43.0408498
-76.1493333,43.0528675
-76.1553484,43.0709512
-76.1517524,43.0423461
-76.2725449,43.125837
-76.310681,43.000126
-76.119666,42.974455
-76.1474244,43.0481221
NA,NA
-76.1440291,43.0220443
-76.1613155,43.047665
-76.3295662,43.1580574
-76.4355149,42.9510553
-76.4233152,42.955108
-76.446726,42.945662
-76.4368222,42.9443769
-76.4284881,42.9552564
